    k          tempo    temporal_gx  convectivo_gx    difusivo_gx     resíduo_x
  132       3.291457      -0.169659      -0.031219      -0.169445      -0.031433
  133       3.316583      -0.167319      -0.030268      -0.167111      -0.030475
  134       3.341709      -0.165026      -0.029351      -0.164824      -0.029552
  135       3.366834      -0.162778      -0.028467      -0.162582      -0.028663
  136       3.391960      -0.160574      -0.027616      -0.160384      -0.027805
  137       3.417085      -0.158413      -0.026795      -0.158229      -0.026979
  138       3.442211      -0.156294      -0.026004      -0.156116      -0.026182
  139       3.467337      -0.154216      -0.025241      -0.154043      -0.025414
  140       3.492462      -0.152178      -0.024504      -0.152010      -0.024672
  141       3.517588      -0.150178      -0.023794      -0.150015      -0.023957
  142       3.542714      -0.148216      -0.023108      -0.148057      -0.023267
  143       3.567839      -0.146291      -0.022446      -0.146137      -0.022600
  144       3.592965      -0.144401      -0.021806      -0.144252      -0.021956
  145       3.618090      -0.142547      -0.021189      -0.142401      -0.021334
  146       3.643216      -0.140726      -0.020592      -0.140585      -0.020733
  147       3.668342      -0.138939      -0.020015      -0.138802      -0.020153
  148       3.693467      -0.137184      -0.019458      -0.137051      -0.019592
  149       3.718593      -0.135461      -0.018919      -0.135331      -0.019049
  150       3.743719      -0.133769      -0.018398      -0.133642      -0.018524
  151       3.768844      -0.132106      -0.017894      -0.131984      -0.018017
  152       3.793970      -0.130473      -0.017407      -0.130354      -0.017526
  153       3.819095      -0.128869      -0.016935      -0.128753      -0.017051
  154       3.844221      -0.127293      -0.016478      -0.127180      -0.016591
  155       3.869347      -0.125744      -0.016037      -0.125634      -0.016147
  156       3.894472      -0.124222      -0.015609      -0.124115      -0.015716
  157       3.919598      -0.122726      -0.015194      -0.122622      -0.015299
  158       3.944724      -0.121256      -0.014793      -0.121155      -0.014895
  159       3.969849      -0.119810      -0.014405      -0.119712      -0.014503
  160       3.994975      -0.118389      -0.014028      -0.118293      -0.014124
  161       4.020101      -0.116992      -0.013663      -0.116898      -0.013757
  162       4.045226      -0.115618      -0.013309      -0.115527      -0.013400
  163       4.070352      -0.114266      -0.012966      -0.114178      -0.013055
  164       4.095477      -0.112937      -0.012634      -0.112851      -0.012720
  165       4.120603      -0.111630      -0.012311      -0.111546      -0.012396
  166       4.145729      -0.110344      -0.011999      -0.110262      -0.012081
  167       4.170854      -0.109079      -0.011695      -0.108999      -0.011775
  168       4.195980      -0.107834      -0.011401      -0.107756      -0.011479
  169       4.221106      -0.106609      -0.011115      -0.106533      -0.011191
  170       4.246231      -0.105404      -0.010838      -0.105330      -0.010912
  171       4.271357      -0.104217      -0.010569      -0.104145      -0.010641
  172       4.296482      -0.103050      -0.010308      -0.102979      -0.010378
  173       4.321608      -0.101900      -0.010054      -0.101832      -0.010123
  174       4.346734      -0.100769      -0.009808      -0.100702      -0.009875
  175       4.371859      -0.099655      -0.009569      -0.099590      -0.009634
  176       4.396985      -0.098558      -0.009336      -0.098495      -0.009400
  177       4.422111      -0.097478      -0.009110      -0.097416      -0.009172
  178       4.447236      -0.096415      -0.008891      -0.096354      -0.008952
  179       4.472362      -0.095368      -0.008678      -0.095309      -0.008737
  180       4.497487      -0.094336      -0.008470      -0.094279      -0.008528
  181       4.522613      -0.093320      -0.008269      -0.093264      -0.008325
  182       4.547739      -0.092319      -0.008073      -0.092265      -0.008128
  183       4.572864      -0.091334      -0.007883      -0.091280      -0.007936
  184       4.597990      -0.090362      -0.007697      -0.090310      -0.007750
  185       4.623116      -0.089405      -0.007517      -0.089354      -0.007568
  186       4.648241      -0.088462      -0.007342      -0.088412      -0.007392
  187       4.673367      -0.087533      -0.007171      -0.087484      -0.007220
  188       4.698492      -0.086617      -0.007005      -0.086570      -0.007053
  189       4.723618      -0.085715      -0.006844      -0.085668      -0.006890
  190       4.748744      -0.084825      -0.006687      -0.084780      -0.006732
  191       4.773869      -0.083948      -0.006534      -0.083904      -0.006578
  192       4.798995      -0.083084      -0.006385      -0.083041      -0.006428
  193       4.824121      -0.082232      -0.006240      -0.082190      -0.006282
  194       4.849246      -0.081392      -0.006099      -0.081351      -0.006140
  195       4.874372      -0.080564      -0.005961      -0.080523      -0.006002
  196       4.899497      -0.079747      -0.005828      -0.079707      -0.005867
  197       4.924623      -0.078941      -0.005697      -0.078903      -0.005736
  198       4.949749      -0.078147      -0.005570      -0.078109      -0.005608
  199       4.974874      -0.077364      -0.005447      -0.077327      -0.005483
  200       5.000000      -0.076591      -0.005326      -0.076555      -0.005362
